Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;GestaoOperacional;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoCondicaoEstabilidadeRPSB;SituacaoDeclaracaoConformidadeOperacionalidade;SituacaoOperacionalFormatado;StatusEmbargo
9776; VALE GOLD;VALE GOLD S.A.;38.615.413/0001-53;-15°55'09.590";-56°29'27.180";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em Construção;Não Embargada
8662;0-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'00.100";-60°08'18.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;19,60;57.463.773,00;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Inativa;Desembargada
8435;1 Mina;VALE S.A.;33.592.510/0001-54;-06°23'57.800";-50°20'24.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;6,99;13.414,72;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8619;1 Usina;VALE S.A.;33.592.510/0001-54;-06°27'17.700";-50°13'43.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;7,59;41.574,00;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8779;103 (Cruz);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'08.600";-60°08'30.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;10,30;1.290.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
9144;11 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'17.062";-47°36'48.014";Sul do Equador;DESCALVADO;SP;Argila;5,00;1.140.000,00;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8778;111 (Índio);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.800";-60°08'39.400";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;5,00;1.065.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
9288;12 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'25.047";-47°38'34.049";Sul do Equador;ANALÂNDIA;SP;Argila;10,00;492.348,00;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9145;12 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'06.006";-47°36'47.022";Sul do Equador;DESCALVADO;SP;Argila;11,00;577.840,39;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9146;13 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'18.075";-47°38'22.025";Sul do Equador;ANALÂNDIA;SP;Argila;8,00;663.184,00;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8684;158 (A-1);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'16.900";-60°04'44.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;30,00;47.500.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
8685;161 (A-2);MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'56.233";-60°04'08.396";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;10,90;1.470.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
8771;189;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.400";-60°00'46.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;5,00;209.969,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8381;2;VALE S.A.;33.592.510/0001-54;-19°58'24.601";-43°36'13.419";Sul do Equador;BARÃO DE COCAIS;MG;-;10,00;9.445,19;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8668;22;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'19.100";-60°10'02.600";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;6,00;56.519,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
